OBJECTID,PRECINCTID,NAME,COUNTY,LASTUPDATE,LASTEDITOR,PRECINCTID_1,NAME_1,TOWNSHIP,WINPARTY,WINPERCENT,WINCATEGORY,TOTBALLOTSLINK,INPERSON,TOTBALLOTS,CANDIDATE1,PARTY1,NUMVOTES1,PERCVOTE1,CANDIDATE2,PARTY2,NUMVOTES2,PERCVOTE2,CANDIDATE3,PARTY3,NUMVOTES3,PERCVOTE3,CANDIDATE4,PARTY4,NUMVOTES4,PERCVOTE4,CANDIDATE5,PARTY5,NUMVOTES5,PERCVOTE5,Shape__Area,Shape__Length
22,119,LAUREL,Fairfax,2016-11-17T10:58:50.000Z,stulad,119,LAUREL,Fairfax County,Clinton / Kaine (D),0.2251773,10,3384,2679,3384,Clinton / Kaine (D),Clinton / Kaine (D),1604,0.47399527,Trump / Pence (R),Trump / Pence (R),842,0.24881797,Johnson / Weld (L),Johnson / Weld (L),93,0.02748227,Stein / Baraka (G),Stein / Baraka (G),19,0.00561466,McMullin / Johnson (I),McMullin / Johnson (I),79,0.02334515,0.000291360679768,0.081787770442955
23,526,BREN MAR,Fairfax,2016-11-17T10:58:50.000Z,stulad,526,BREN MAR,Fairfax County,Clinton / Kaine (D),0.44344704,30,2785,2204,2785,Clinton / Kaine (D),Clinton / Kaine (D),1652,0.59317774,Trump / Pence (R),Trump / Pence (R),417,0.1497307,Johnson / Weld (L),Johnson / Weld (L),58,0.02082585,Stein / Baraka (G),Stein / Baraka (G),12,0.0043088,McMullin / Johnson (I),McMullin / Johnson (I),28,0.01005386,0.000294327723489,0.086529794953378
24,123,ROBINSON,Fairfax,2016-11-17T10:58:50.000Z,stulad,123,ROBINSON,Fairfax County,Clinton / Kaine (D),0.20325435,10,3503,2730,3503,Clinton / Kaine (D),Clinton / Kaine (D),1599,0.45646589,Trump / Pence (R),Trump / Pence (R),887,0.25321153,Johnson / Weld (L),Johnson / Weld (L),102,0.0291179,Stein / Baraka (G),Stein / Baraka (G),23,0.0065658,McMullin / Johnson (I),McMullin / Johnson (I),54,0.01541536,0.000383787453567,0.088396129858386
25,521,BROOK HILL,Fairfax,2016-11-17T10:58:50.000Z,stulad,521,BROOK HILL,Fairfax County,Clinton / Kaine (D),0.26327434,10,1808,1472,1808,Clinton / Kaine (D),Clinton / Kaine (D),934,0.51659292,Trump / Pence (R),Trump / Pence (R),458,0.25331858,Johnson / Weld (L),Johnson / Weld (L),22,0.01216814,Stein / Baraka (G),Stein / Baraka (G),12,0.00663717,McMullin / Johnson (I),McMullin / Johnson (I),23,0.01272124,0.000287678374984,0.083162075230031
26,504,BRISTOW,Fairfax,2016-11-17T10:58:50.000Z,stulad,504,BRISTOW,Fairfax County,Clinton / Kaine (D),0.45558882,30,2004,1763,2004,Clinton / Kaine (D),Clinton / Kaine (D),1293,0.64520958,Trump / Pence (R),Trump / Pence (R),380,0.18962076,Johnson / Weld (L),Johnson / Weld (L),28,0.01397206,Stein / Baraka (G),Stein / Baraka (G),21,0.01047904,McMullin / Johnson (I),McMullin / Johnson (I),20,0.00998004,0.000166641235095,0.05491418955185
27,106,HERITAGE,Fairfax,2016-11-17T10:58:50.000Z,stulad,106,HERITAGE,Fairfax County,Clinton / Kaine (D),0.43871665,30,2774,2440,2774,Clinton / Kaine (D),Clinton / Kaine (D),1763,0.63554434,Trump / Pence (R),Trump / Pence (R),546,0.19682769,Johnson / Weld (L),Johnson / Weld (L),56,0.02018745,Stein / Baraka (G),Stein / Baraka (G),37,0.01333814,McMullin / Johnson (I),McMullin / Johnson (I),20,0.00720981,0.000202571914612,0.068033325663762
28,104,CHAPEL,Fairfax,2016-11-17T10:58:50.000Z,stulad,104,CHAPEL,Fairfax County,Clinton / Kaine (D),0.15555556,10,2025,1538,2025,Clinton / Kaine (D),Clinton / Kaine (D),860,0.42469136,Trump / Pence (R),Trump / Pence (R),545,0.2691358,Johnson / Weld (L),Johnson / Weld (L),58,0.02864198,Stein / Baraka (G),Stein / Baraka (G),6,0.00296296,McMullin / Johnson (I),McMullin / Johnson (I),36,0.01777778,0.000425144234636,0.089850329621312
29,116,WAKEFIELD,Fairfax,2016-11-17T10:58:50.000Z,stulad,116,WAKEFIELD,Fairfax County,Clinton / Kaine (D),0.2667348,10,1957,1514,1957,Clinton / Kaine (D),Clinton / Kaine (D),954,0.48748084,Trump / Pence (R),Trump / Pence (R),432,0.22074604,Johnson / Weld (L),Johnson / Weld (L),40,0.02043945,Stein / Baraka (G),Stein / Baraka (G),9,0.00459888,McMullin / Johnson (I),McMullin / Johnson (I),39,0.01992846,0.000233678734335,0.066928017192113
30,518,COLUMBIA,Fairfax,2016-11-17T10:58:50.000Z,stulad,518,COLUMBIA,Fairfax County,Clinton / Kaine (D),0.31646127,30,2272,1837,2272,Clinton / Kaine (D),Clinton / Kaine (D),1219,0.53653169,Trump / Pence (R),Trump / Pence (R),500,0.22007042,Johnson / Weld (L),Johnson / Weld (L),41,0.01804577,Stein / Baraka (G),Stein / Baraka (G),23,0.01012324,McMullin / Johnson (I),McMullin / Johnson (I),32,0.01408451,0.000263000398336,0.0959655368801
31,528,RIDGELEA,Fairfax,2016-11-17T10:58:50.000Z,stulad,528,RIDGELEA,Fairfax County,Clinton / Kaine (D),0.17367459,10,1094,821,1094,Clinton / Kaine (D),Clinton / Kaine (D),471,0.43053016,Trump / Pence (R),Trump / Pence (R),281,0.25685558,Johnson / Weld (L),Johnson / Weld (L),27,0.02468007,Stein / Baraka (G),Stein / Baraka (G),5,0.00457038,McMullin / Johnson (I),McMullin / Johnson (I),17,0.01553931,0.000167558334816,0.077231373270356
